SMI,canonical_smi,lambda_max_exp_nm,HeavyAtomCount,LargestConjugatedSystemSize,TPSA,NumHDonors,NumRotatableBonds,FractionCSP3,MolLogP_clipped,NumDonorGroups,NumAcceptorGroups,HasPushPull
OC[C@H]1OC([C@@H]([C@@]1(O)C#C[2H])O)n1cc(O)c(=O)[nH]c1=O,[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(O)c(=O)[nH]c2=O)[C@@H]1O,279.0,20,9,145.00999999999996,5,2,0.45454545454545453,-3.1429000000000005,5,0,0
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Cl)c(=O)[nH]c1=O)[2H],[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(Cl)c(=O)[nH]c2=O)[C@@H]1O,276.0,20,8,124.77999999999999,4,2,0.45454545454545453,-2.1950999999999996,4,1,1
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Br)c(=O)[nH]c1=O)[2H],[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(Br)c(=O)[nH]c2=O)[C@@H]1O,278.0,20,8,124.77999999999999,4,2,0.45454545454545453,-2.086,4,1,1
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(I)c(=O)[nH]c1=O)[2H],[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(I)c(=O)[nH]c2=O)[C@@H]1O,287.0,20,8,124.77999999999999,4,2,0.45454545454545453,-2.2438999999999996,4,1,1
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1ncc(=O)[nH]c1=O)[2H],[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2ncc(=O)[nH]c2=O)[C@@H]1O,256.0,19,8,137.66999999999996,4,2,0.5,-3.4535000000000005,4,0,0
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cc(O)c(=O)[nH]c1=O,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1O,280.0,18,9,145.01000000000002,5,2,0.5555555555555556,-3.1462999999999997,5,0,0
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ncc(=O)[nH]c1=O,O=c1cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,257.0,17,8,137.67000000000002,4,2,0.625,-3.4569000000000005,4,0,0
OB(c1cccc(c1)[N+](=O)[O-])O,O=[N+]([O-])c1cccc(B(O)O)c1,340.0,12,9,83.60000000000001,2,2,0.0,-0.7254,2,0,0
Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,Cc1cc2c(n1-c1ccccc1)CCc1cc(S(=O)(=O)c3ccccc3)c(=O)[nH]c1-2,421.3,30,18,71.93,1,3,0.125,4.072420000000003,0,1,0
Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)C(=O)c1ccccc1,Cc1cc2c(n1-c1ccccc1)CCc1cc(C(=O)c3ccccc3)c(=O)[nH]c1-2,441.5,29,26,54.86,1,3,0.12,4.470620000000004,0,1,0
N#Cc1cc2CCc3c(c2[nH]c1=O)cc(n3c1ccccc1)C,Cc1cc2c(n1-c1ccccc1)CCc1cc(C#N)c(=O)[nH]c1-2,331.6,23,20,61.58,1,1,0.15789473684210525,3.111300000000001,0,1,0
CCOC(=O)c1cc2CCc3c(c2[nH]c1=O)cc(n3c1ccccc1)C,CCOC(=O)c1cc2c([nH]c1=O)-c1cc(C)n(-c3ccccc3)c1CC2,423.0,26,21,64.09,1,3,0.23809523809523808,3.4163200000000025,1,1,1
Cn1c(C)cc2c1CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,Cc1cc2c(n1C)CCc1cc(S(=O)(=O)c3ccccc3)c(=O)[nH]c1-2,423.1,25,12,71.93,1,2,0.21052631578947367,2.6202200000000007,0,1,0
O=C(c1cc2CCc3c(c2[nH]c1=O)cc(n3C)C)c1ccccc1,Cc1cc2c(n1C)CCc1cc(C(=O)c3ccccc3)c(=O)[nH]c1-2,445.2,24,20,54.86,1,2,0.2,3.0184200000000008,0,1,0
Cc1cc2c(n1Cc1ccccc1)CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,Cc1cc2c(n1Cc1ccccc1)CCc1cc(S(=O)(=O)c3ccccc3)c(=O)[nH]c1-2,421.2,31,12,71.93,1,4,0.16,4.131520000000002,0,1,0
O=c1[nH]c2c(cc1C(=O)c1ccccc1)CCc1c2ccn1Cc1ccccc1,O=C(c1ccccc1)c1cc2c([nH]c1=O)-c1ccn(Cc3ccccc3)c1CC2,442.7,29,20,54.86,1,4,0.12,4.221300000000003,0,1,0
Cc1[nH]c2c(c1)c1[nH]c(=O)cc(c1cc2)C,Cc1cc2c(ccc3c(C)cc(=O)[nH]c32)[nH]1,337.1,16,14,48.65,2,0,0.15384615384615385,2.62624,0,0,0
Cc1cnc(nc1O[Si](C)(C)C)O[Si](C)(C)C,Cc1cnc(O[Si](C)(C)C)nc1O[Si](C)(C)C,250.0,17,8,44.24000000000001,0,4,0.6363636363636364,3.2124200000000016,2,0,0
S=C=Nc1ccc2c(c1)C(=O)OC12c2ccc(cc2Oc2c1ccc(c2)O)O,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccc(N=C=S)cc21,280.0,28,15,88.35000000000001,2,1,0.047619047619047616,4.400100000000002,4,1,1
CCc1cc(=O)c2c(o1)ccc(c2)O,CCc1cc(=O)c2cc(O)ccc2o1,328.0,14,12,50.44,1,1,0.18181818181818182,2.061,1,0,0
CCCc1cc(=O)c2c(o1)ccc(c2)O,CCCc1cc(=O)c2cc(O)ccc2o1,328.0,15,12,50.44,1,2,0.25,2.4511000000000003,1,0,0
Oc1ccc2c(c1)c(=O)cc(o2)C(C)C,CC(C)c1cc(=O)c2cc(O)ccc2o1,328.0,15,12,50.44,1,1,0.25,2.6220000000000008,1,0,0
CC(Cc1cc(=O)c2c(o1)ccc(c2)O)C,CC(C)Cc1cc(=O)c2cc(O)ccc2o1,328.0,16,12,50.44,1,2,0.3076923076923077,2.6971000000000007,1,0,0
Oc1ccc2c(c1)c(=O)cc(o2)C(C)(C)C,CC(C)(C)c1cc(=O)c2cc(O)ccc2o1,328.0,16,12,50.44,1,0,0.3076923076923077,2.796100000000001,1,0,0
Cc1cc(=O)c2c(o1)ccc(c2)O,Cc1cc(=O)c2cc(O)ccc2o1,328.0,13,12,50.44,1,0,0.1,1.8070199999999998,1,0,0
CCCc1cc(=O)c2c(o1)cc(cc2)O,CCCc1cc(=O)c2ccc(O)cc2o1,292.0,15,12,50.44,1,2,0.25,2.4511000000000003,1,0,0
Oc1ccc2c(c1)oc(cc2=O)C(C)C,CC(C)c1cc(=O)c2ccc(O)cc2o1,295.0,15,12,50.44,1,1,0.25,2.6220000000000008,1,0,0
CC(Cc1cc(=O)c2c(o1)cc(cc2)O)C,CC(C)Cc1cc(=O)c2ccc(O)cc2o1,292.0,16,12,50.44,1,2,0.3076923076923077,2.6971000000000007,1,0,0
Oc1ccc2c(c1)oc(cc2=O)C(C)(C)C,CC(C)(C)c1cc(=O)c2ccc(O)cc2o1,295.0,16,12,50.44,1,0,0.3076923076923077,2.796100000000001,1,0,0
Cc1cc(=O)c2c(o1)cc(cc2)O,Cc1cc(=O)c2ccc(O)cc2o1,247.0,13,12,50.44,1,0,0.1,1.8070199999999996,1,0,0
O=c1cc(oc2c1cc1OCOc1c2)C(C)(C)C,CC(C)(C)c1cc(=O)c2cc3c(cc2o1)OCO3,319.0,18,13,48.67,0,0,0.35714285714285715,2.8192000000000004,2,0,0
CC(Cc1cc(=O)c2c(o1)cc1c(c2)OCO1)C,CC(C)Cc1cc(=O)c2cc3c(cc2o1)OCO3,319.0,18,13,48.67,0,2,0.35714285714285715,2.720200000000001,2,0,0
Clc1ccc2c(c1)cc([nH]2)C(=O)NCCOCCOCCNC(=O)c1cc2c([nH]1)ccc(c2)Cl,O=C(NCCOCCOCCNC(=O)c1cc2cc(Cl)ccc2[nH]1)c1cc2cc(Cl)ccc2[nH]1,383.0,34,12,108.23999999999998,4,11,0.25,4.149000000000003,2,4,1
OC(=O)CCc1c2Cc3[nH]c(c(c3C)CCC(=O)O)Cc3[nH]c(Cc4[nH]c(Cc(c1C)[nH]2)c(CCC(=O)O)c4C)c(c3CCC(=O)O)C,Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2,377.0,48,5,212.35999999999996,8,12,0.4444444444444444,4.978080000000004,4,4,1
ClC[C@H](Cl)C,C[C@@H](Cl)CCl,364.0,5,0,0.0,0,1,1.0,1.8525,0,0,0
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)Cl,CCOc1nc(-c2ccc(Cl)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,330.0,30,22,58.38,0,5,0.25,5.175980000000005,3,2,1
N#Cc1ccc(nc1)c1ccc(cc1)F,N#Cc1ccc(-c2ccc(F)cc2)nc1,329.0,15,14,36.68,0,1,0.0,2.75938,0,2,0
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)F,CCOc1nc(-c2ccc(F)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,329.0,30,22,58.38,0,5,0.25,4.661680000000004,3,2,1
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)C,CCOc1nc(-c2ccc(C)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,332.5,30,22,58.38,0,5,0.28,4.831000000000005,3,1,1
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)OC,CCOc1nc(-c2ccc(OC)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,311.0,31,23,67.61000000000001,0,6,0.28,4.5311800000000035,4,1,1
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1cccs1,CCOc1nc(-c2cccs2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,331.0,28,21,58.38,0,5,0.2727272727272727,4.584080000000005,4,1,1
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccco1,CCOc1nc(-c2ccco2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,329.5,28,21,71.52000000000001,0,5,0.2727272727272727,4.115580000000003,3,1,1
CCOc1nc2c(c(c1C#N)c1ccc(cc1)N1CCOCC1)Cc1c2cccc1,CCOc1nc2c(c(-c3ccc(N4CCOCC4)cc3)c1C#N)Cc1ccccc1-2,331.0,30,22,58.38,0,4,0.28,4.4267800000000035,3,1,1
CCOc1nc2c(c(c1C#N)c1ccc(cc1)N1CCOCC1)CSc1c2cccc1,CCOc1nc2c(c(-c3ccc(N4CCOCC4)cc3)c1C#N)CSc1ccccc1-2,240.0,31,22,58.38,0,4,0.28,5.128280000000005,4,1,1
OCc1cc(=O)oc2c1cc(Br)c(c2)O,O=c1cc(CO)c2cc(Br)c(O)cc2o1,366.0,15,12,70.67,2,1,0.1,1.7533999999999996,2,1,1
