SMI,canonical_smi,lambda_max_exp_nm,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FractionCSP3,HeavyAtomCount,NumValenceElectrons,MolLogP_clipped
OC(=O)C(Cn1cnc2c1nc(N)nc2S)N,Nc1nc(S)c2ncn(CC(N)C(=O)O)c2n1,342.2,254.27499999999998,-0.8909000000000002,132.94,4,7,3,2,2,0.25,17,90,-0.8909000000000002
C(CC(=O)c1c(O)cc(cc1O)O)CC=C(C)C,CC(C)=CCCCC(=O)c1c(O)cc(O)cc1O,240.0,250.294,3.1226000000000025,77.76,3,4,5,1,1,0.35714285714285715,18,98,3.1226000000000025
COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccc3c(c1)OCO3)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccc3c(c1)OCO3)c(C)n2C(=O)c1ccc(Cl)cc1,210.0,534.9520000000002,4.753320000000003,105.09,1,7,7,5,4,0.17857142857142858,38,194,4.753320000000003
COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccsc1C(=O)OC)c(n2C(=O)c1ccc(cc1)Cl)C,COC(=O)c1sccc1NC(=O)COC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,220.0,555.0080000000003,4.872720000000005,112.92999999999999,1,8,8,4,4,0.18518518518518517,38,196,4.872720000000005
COc1ccc2c(c1)c(CC(=O)OCC(=O)NCc1ccccc1)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)NCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,210.0,504.97000000000014,4.702320000000004,86.63,1,5,8,4,4,0.17857142857142858,36,184,4.702320000000004
COc1ccc2c(c1)c(CC(=O)OCC(=O)N1CCSCC1)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)N1CCSCC1)c(C)n2C(=O)c1ccc(Cl)cc1,210.0,501.00400000000025,3.9613200000000033,77.84,0,6,6,4,3,0.32,34,178,3.9613200000000033
c1ccc(cc1)C=Cc1ccc2c(n1)cccc2,C(=Cc1ccc2ccccc2n1)c1ccccc1,800.0,231.29799999999997,4.405200000000003,12.89,0,1,2,3,3,0.0,18,86,4.405200000000003
Cc1ccc2c(n1)c(O)c(cc2)C(=O)NCc1ccccc1,Cc1ccc2ccc(C(=O)NCc3ccccc3)c(O)c2n1,800.0,292.338,3.178820000000002,62.22,2,3,3,3,3,0.1111111111111111,22,110,3.178820000000002
COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,257.0,294.307,-0.31109999999999954,118.72000000000001,3,5,7,1,1,0.35714285714285715,21,114,-0.31109999999999954
OC[C@@H]([C@@H](Cc1ccc(c(c1)OC)O)CO)Cc1ccc(c(c1)OC)O,COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O,225.0,362.4220000000001,2.1172,99.38000000000001,4,6,9,2,2,0.4,26,142,2.1172
COc1cc(ccc1O)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc(c(c1)OC)O,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,225.0,358.3900000000001,3.190200000000002,77.38000000000001,2,6,4,4,2,0.4,26,138,3.190200000000002
Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,280.0,272.3879999999999,3.6092000000000026,40.46,2,2,0,4,1,0.6666666666666666,20,108,3.6092000000000026
CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,345.0,300.44200000000006,5.602600000000005,37.3,1,1,5,1,0,0.45,22,120,5.602600000000005
O=CC=C(CCC=C(C)C)C,CC(C)=CCCC(C)=CC=O,245.0,152.237,2.878000000000001,17.07,0,1,4,0,0,0.5,11,62,2.878000000000001
OC[C@H]1OC([C@@H]([C@@]1(O)C#C[2H])O)n1cc(O)c(=O)[nH]c1=O,[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(O)c(=O)[nH]c2=O)[C@@H]1O,279.0,285.230101778,-3.1429000000000005,145.00999999999996,5,7,2,2,1,0.45454545454545453,20,108,-3.1429000000000005
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Cl)c(=O)[nH]c1=O)[2H],[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(Cl)c(=O)[nH]c2=O)[C@@H]1O,276.0,303.67610177800003,-2.1950999999999996,124.77999999999999,4,6,2,2,1,0.45454545454545453,20,108,-2.1950999999999996
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Br)c(=O)[nH]c1=O)[2H],[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(Br)c(=O)[nH]c2=O)[C@@H]1O,278.0,348.12710177800005,-2.086,124.77999999999999,4,6,2,2,1,0.45454545454545453,20,108,-2.086
