canonical_smi,solvent_grouped,et30,lambda_max_exp_nm
CCOC(=O)C1=C(c2ccccc2)NC(=O)C1=NNc1cc([N+](=O)[O-])ccc1O,THF,37.4,546.0
Cc1c(O)ccc(N=Nc2ccc([N+](=O)[O-])cc2C#N)c1O,Acetone,42.2,441.0
CCN(CC)c1ccc2cc(C=CC(=O)c3c(O)c4ccccc4oc3=O)c(=O)oc2c1,DCM,40.7,503.0
CCN(CC)c1ccc2c(O)c(N=Nc3ccc(OC)cc3)c(=O)oc2c1,Methanol,55.4,480.0
C(#Cc1ccc2c(c1)Cc1ccccc1-2)c1ccc(-n2c3ccccc3c3ccccc32)cc1,DCM,40.7,404.0
COc1ccc(C=Cc2ccc3c4c(ccc3c2)OC(c2ccccc2)(c2ccccc2)C4=C=C(c2ccccc2)c2ccccc2)cc1,THF,37.4,470.0
COC(=O)c1c(C(=O)OC)c2ccc(C=Cc3ccc(C)cc3)nn2c1C(=O)OC,Hexane,31.0,452.0
Nc1ccccn1,DMSO,45.1,310.0
COc1ccc(-c2cc(-c3ccc(OC)cc3)c3ccc4c(-c5ccc(OC)cc5)cc(-c5ccc(OC)cc5)c5ccc2c3c54)cc1,DCM,40.7,393.0
CO[Si](CCCSC(=O)CSc1ccccc1)(OC)OC,Chloroform,39.1,249.0
CC(C)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,Chloroform,39.1,359.0
CCn1c2ccccc2c2cc(-c3ccc(-c4ccc(-c5ccncn5)s4)s3)ccc21,Acetonitrile,45.6,415.0
Nc1nc(-c2ccc(NC(=O)c3ccccc3)cc2)c(N=Nc2ccccc2Cl)s1,DMSO,45.1,492.0
Cc1c(-c2nnc(-c3cccc4ccccc34)o2)sc2sc(-c3nnc(-c4cccc5ccccc45)o3)c(C)c12,Ethanol,51.9,361.0
O=C1OC2(c3ccccc31)c1ccc(O)c(Br)c1Oc1c2ccc(O)c1Br,Water,63.1,506.0
Cc1ccc(-c2c3ccsc3c(-c3ccc(C)s3)c3ccsc23)s1,Chloroform,39.1,354.0
N#Cc1c(N)nc(N)c(C#N)c1-c1cccc2ccccc12,THF,37.4,337.0
CC1(C)c2ccccc2-c2ccc(N(c3ccc(N=Nc4ccc([N+](=O)[O-])cc4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,Toluene,33.9,522.0
Cc1cccc(N(c2ccccc2)c2ccc(C(C#N)=Cc3ccc4ccccc4c3)cc2)c1,THF,37.4,413.0
Cc1c(C(=O)C=Cc2ccc(Br)cc2)nnn1-c1ccnc2cc(Cl)ccc12,Methanol,55.4,235.0
Cc1c(C(N)=O)c(=O)oc2cc3c(cc12)nc(Nc1ccccc1F)n3CC1CCCO1,Ethanol,51.9,362.0
Cn1cc(C=C(C#N)c2ccc(C=C3SC(=S)N(CC(=O)O)C3=O)s2)c2ccccc21,Chloroform,39.1,511.0
CCCOC(=O)c1ccncc1,Acetonitrile,45.6,345.0
CCN(CC)Cc1ccc2cccnc2c1O,Methanol,55.4,506.0
c1ccc2c3[nH]c(c2c1)N=c1[nH]c(c2ccccc12)=Nc1[nH]c(c2ccccc12)N=c1[nH]c(c2ccccc12)=N3,Water,63.1,684.0
Oc1ccc(-c2nc3c(c4c2-c2ccc(Br)cc2CC4)-c2ccc(Br)cc2CC3)cc1,Chloroform,39.1,367.0
CC(C)CCC1(CCC(C)C)c2ccccc2-c2ccc(-c3ccc4ccc5cccc6ccc3c4c56)cc21,DCM,40.7,400.0
C=CC(C=C=Cc1ccccc1)(c1ccc(C#N)cc1)N(C)C,Acetonitrile,45.6,422.0
CCOC(=O)c1cc2cc(C(C)=O)cn2cc1-c1ccc2ccccc2c1,DCM,40.7,261.0
Nc1ccccc1-c1nc2ccccc2s1,Methanol,55.4,365.0
C[Si](C)(C)C#Cc1ccc(C(=O)c2cc(C#C[Si](C)(C)C)c3ccc4c(C#C[Si](C)(C)C)cc(C#C[Si](C)(C)C)c5ccc2c3c45)cc1,Hexane,31.0,415.0
CC1c2ccccc2-c2cc3[nH]c(-c4c(F)cccc4F)nc3cc21,DMSO,45.1,341.0
CCN(CC)c1ccc2c(C#N)c(C=C(C#N)c3nc4ccccc4s3)c(=O)oc2c1,Toluene,33.9,611.0
CCOC1CC(C(=O)OC)=C2C=CC=NN21,Cyclohexane,30.9,496.0
Cc1c(-c2nnc(-c3c4ccccc4cc4ccccc34)o2)sc2sc(-c3nnc(-c4c5ccccc5cc5ccccc45)o3)c(C)c12,Ethanol,51.9,400.0
C=C(COC(=O)c1ccc(C(=O)c2ccccc2)cc1)C(=O)OCC,DMF,43.2,255.0
CN1C(=CC=C2C=CC(=O)c3ncccc32)C(C)(C)c2ccccc21,THF,37.4,605.0
CCC1(CC)c2cc(-c3ccc(C=C(C#N)C#N)s3)ccc2-c2ccc(N(c3ccccc3)c3cccc4ccccc34)cc21,Acetonitrile,45.6,492.0
COc1cc(C(=O)Oc2ccc(-n3cc(-c4ccccc4)nn3)c([N+](=O)[O-])c2)cc(OC)c1OC,DCM,40.7,254.0
Clc1ccc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)cc1,DMSO,45.1,412.0
CCCOC(=O)c1ccccc1C(=O)OCCC,Acetonitrile,45.6,330.0
CCOC(=O)C1=C(c2ccc(-c3ccccc3)cc2)NC(=O)C1=CC1=CCC(=C=O)C=C1,DMSO,45.1,441.0
N#CC(=Cc1ccccc1)c1ccc(N(c2ccccc2)c2ccc3ccccc3c2)cc1,THF,37.4,402.0
C=C(C)C(=O)OCCOc1ccc(-c2nnc(-c3ccccc3)s2)cc1,DMF,43.2,367.0
COc1ccc(C=CC(=O)c2nnn(-c3ccnc4cc(Cl)ccc34)c2C)cc1OC,Methanol,55.4,236.0
Cc1c(O)ccc(N=Nc2ccc([N+](=O)[O-])cc2C(F)(F)F)c1O,Acetone,42.2,423.0
FC(F)(F)c1ccc(-c2nc3c(c4c2-c2ccc(Br)cc2CC4)-c2ccc(Br)cc2CC3)cc1,Chloroform,39.1,346.0
