canonical_smi,solvent_grouped,et30,lambda_max_exp_nm
Cc1cc(C)c(N=C2N=C3C=CC=CN3C2=Nc2c(C)cc(C)cc2C)c(C)c1,THF,37.4,556.0
CCN(CC)Cc1ccc2cccnc2c1OC,Methanol,55.4,390.0
N#Cc1c(N)nc(N)c(C#N)c1-c1ccccc1,THF,37.4,341.0
CC(=NNC(=Cc1ccc2ccccc2n1)C(C)(C)C)c1ccc(Br)cc1,Ethanol,51.9,442.0
CCOC(=O)C1=C(c2ccccc2)N(C)C(=O)C1=Cc1cccs1,Other,,537.0
C(=Cc1ccc(-c2cnc3c(ccc4cccnc43)c2)s1)c1cccs1,DCM,40.7,498.0
Cc1nc(Cl)c2cc(-c3nnc(-c4ccc(Cl)cc4Cl)o3)ccn12,DCM,40.7,280.0
N#CC(=Cc1cc(-c2ccc(C=C(C#N)c3ccc(-c4ccccc4)cc3)cc2)cs1)c1ccccc1,THF,37.4,366.0
Cc1cccc(OCc2nnc(-c3ccn4c(C)nc(Cl)c4c3)o2)c1,Acetonitrile,45.6,378.0
c1ccc(N=Nc2nc3ccccc3s2)cc1,Methanol,55.4,332.0
O=[N+]([O-])c1cc2c(c([N+](=O)[O-])c1)-c1c(cc([N+](=O)[O-])cc1[N+](=O)[O-])C2=CC=c1c2cccc3cccc(c32)n1Cc1ccccc1,Toluene,33.9,696.0
CC1(C)c2cc(-c3ccc4ccccc4c3)cc(-c3ccc4ccccc4c3)c2N2CC(=O)NC21C,THF,37.4,299.0
COc1cccc(-c2ccc(-c3cccc(OC)c3)c3[nH]c(-c4ccc(C=C(C#N)C(=O)O)cc4)nc23)c1,Chloroform,39.1,360.0
O=Cc1c(O)c2ccccc2n(-c2ccccc2)c1=O,Methanol,55.4,399.5
N#Cc1c2c3c(oc(=O)c2c(=N)n2[nH]c(-c4ccccc4)cc12)-c1ccccc1SC3,DMF,43.2,442.0
CC1(C)CC(=O)C(=C(O)C=Cc2ccc(N(c3ccc(-c4ccccc4)cc3)c3ccc(-c4ccccc4)cc3)cc2)C(=O)C1,Methanol,55.4,483.0
Cc1cc2c(C(=O)c3ccccc3C(=O)O)c3c(n2cc1C)C(=O)c1ccccc1C3=O,DMF,43.2,509.0
CC1(C)c2ccccc2N(c2ccccc2)c2ccc(-c3cccc(-c4nc5c6ccccc6c6ccccc6c5n4-c4ccccc4)c3)cc21,THF,37.4,324.0
COc1ccc(C#Cc2c(F)c(F)c(C#Cc3ccc(OC)cc3)c(F)c2F)cc1,DCM,40.7,362.0
C(=Cc1cnc2ccccc2n1)c1ccc(C=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)cc1,DCM,40.7,450.0
COc1ccc(C#Cc2cccc(-c3cccc(C#Cc4ccc(OC)s4)n3)n2)s1,Acetonitrile,45.6,349.0
Cn1c(-c2ccccc2)c(N=Nc2nc(-c3cc4ccccc4oc3=O)cs2)c2ccccc21,DMSO,45.1,471.0
COc1ccc2nc3nc(-c4ccc(Cl)cc4)ccc3cc2c1,Acetone,42.2,403.0
CC(=O)c1ccc([N+]([O-])=Cc2ccc3c(c2)Sc2ccccc2N3C)cc1,DCM,40.7,312.0
Cc1c(C(=O)C=Cc2ccc(N(C)C)cc2)nnn1-c1ccnc2cc(Cl)ccc12,Methanol,55.4,237.0
Nc1cnc2ccccc2c1,DMSO,45.1,355.0
CNC(C)Cc1ccc(I)cc1,Water,63.1,485.6
Cc1ccc(OCc2nnc(-c3cc(-c4ccc(Cl)cc4)nn3Cc3ccc(C(C)(C)C)cc3)o2)cc1,DCM,40.7,260.0
COc1ccc(-c2c(N=Nc3ccc([N+](=O)[O-])cc3)sc(N)c2C#N)cc1,Acetone,42.2,572.0
Cc1cc(C)cc(-c2ccc(C(C#N)=Cc3ccc(-c4csc(C=C(C#N)c5ccccc5)c4)cc3)cc2)c1,THF,37.4,370.0
Cc1nc(Cl)c2cc(-c3nnc(COc4ccccc4)o3)ccn12,Acetonitrile,45.6,377.0
O=c1oc2ccccc2c(O)c1N=Nc1ccccn1,Methanol,55.4,293.0
N#CC(C#N)=C1C=C(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)OC(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)=C1,Chloroform,39.1,489.0
CCn1c2ccccc2c2nc3cc(C(=O)OC)c(C(=O)OC)cc3nc21,DMF,43.2,410.0
Fc1ccc(-c2nnc(N=Nc3ccc(-c4cccs4)s3)s2)cc1,DMSO,45.1,515.0
O=C1CC(=O)OC(Nc2ccccc2)O1,Dioxane,36.0,569.0
N#CC(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(Cl)cc1,Cyclohexane,30.9,409.0
NC(Cc1ccccc1)C(=O)O,Water,63.1,241.0
CSc1ccccc1N=Nc1nc2ccc([N+](=O)[O-])cc2s1,Methanol,55.4,466.0
Cc1ccc(-c2ccc3cc4ccccc4nc3n2)cc1,Acetone,42.2,388.0
C=COC(=O)c1c2ccccc2cc2ccccc12,Acetonitrile,45.6,365.0
c1ccc(Cc2nc3c(ccc4c5ccccc5ccc43)[nH]2)cc1,Acetonitrile,45.6,365.0
c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-c3ccncn3)s2)cc1,DMSO,45.1,367.0
COc1ccc(-c2cc(-c3nnc(-c4cccc(Br)c4)o3)n(Cc3ccc(C(C)(C)C)cc3)n2)cc1,DCM,40.7,275.0
N#CC1CC(C(N)=O)N2N=Cc3ccccc3C12,Ethanol,51.9,439.0
c1cc(CN[C@@H]2CCCC[C@H]2NCc2ccsc2)cs1,Ethanol,51.9,300.0
CCOC(=O)c1c[nH]c2cc(-c3nc4ccccc4o3)c(O)cc2c1=O,Chloroform,39.1,597.0
Cc1ccc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)cc1,DMSO,45.1,401.0
COc1cc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc(OC)c1OC,Chloroform,39.1,321.0
O=C([O-])c1ccccc1-c1c2cc3c4c(c2[o+]c2c5c6c(cc12)CCCN6CCC5)CCCN4CCC3,DMSO,45.1,586.0
COc1ccc(-n2c(N=Nc3ncc(C=O)s3)ccc2-c2cccs2)cc1,Dioxane,36.0,565.0
c1ccc(Cn2nc(-c3ccccc3)cc2-c2nnc(-c3ccccc3)o2)cc1,DCM,40.7,271.0
N#Cc1ccc(-c2ccc(C3=CCC(c4ccccc4)CC3)s2)s1,Ethanol,51.9,373.0
CCOC(=O)C(c1ccccc1)=[N+]([O-])c1ccccc1,DCM,40.7,620.0
CN(C)c1ccc(C=Cc2ccc(C#N)cc2)cc1,Acetonitrile,45.6,386.0
Cc1c(C(=O)C=Cc2cccc([N+](=O)[O-])c2)nnn1-c1ccnc2cc(Cl)ccc12,Methanol,55.4,233.0
C1=C(c2ccccc2)C=C(c2ccccc2)SC1(Cc1ccccc1)c1ccccc1,Ethanol,51.9,349.0
Cc1cc(C)c(B(c2ccc(-c3cc4ccccc4n3C)s2)c2c(C)cc(C)cc2C)c(C)c1,Cyclohexane,30.9,395.0
O=C(Cl)Cc1ccccc1F,Methanol,55.4,357.0
CC(C)(C)C(=Cc1ccc2ccccc2n1)NN=Cc1ccc([N+](=O)[O-])cc1,Ethanol,51.9,460.0
N#CC(=Cc1c2ccccc2cc2ccccc12)c1ccc(N(c2ccccc2)c2cccc3ccccc23)cc1,THF,37.4,401.0
CC(C)(C)OC(=O)N1C(=O)C2=C(c3ccc(C=Cc4ccccc4)cc3)N(C(=O)OC(C)(C)C)C(=O)C2=C1c1ccc(C=Cc2ccccc2)cc1,DCM,40.7,479.0
O=C(NCC12CC3CC(C1)CC(CNC(=O)Nc1ccc4cc5ccccc5cc4c1)(C3)C2)Nc1ccc2cc3ccccc3cc2c1,DMSO,45.1,407.0
O=c1c(O)c(-c2ccc(O)cc2)c1=O,Methanol,55.4,335.0
Oc1ccccc1-c1cn2ccccc2n1,Cyclohexane,30.9,337.0
COc1cccc(-n2cccc2)c1,Chloroform,39.1,320.0
Cc1nn(-c2ccccc2)c2nc3c(F)c(F)c(F)c(F)c3cc12,Ethanol,51.9,395.0
CN1C(=CC=CC=C2c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3-c3c2cc([N+](=O)[O-])cc3[N+](=O)[O-])C(C)(C)c2ccccc21,Toluene,33.9,696.0
Cc1c2oc(-c3ccccc3)c(-c3ccccc3)c2c(C)c2oc(-c3ccccc3)c(-c3ccccc3)c12,DCM,40.7,229.0
Nc1ccc(O)cc1,Water,63.1,394.0
N#CC(C#N)=C(C=Cc1c[nH]c2ccccc12)c1ccc(N)cc1,Methanol,55.4,447.0
CN1C(=CN=Nc2ccc(C=C3SC(=S)N(c4ccc(O)cc4)C3=O)cc2)Sc2ccccc21,DMF,43.2,569.0
COc1ccccc1N=Nc1nc2ccccc2s1,Methanol,55.4,382.0
CC(C)(C)C(=O)C1(N)NC(=O)c2nccnc2N1,THF,37.4,326.0
Cc1cc2nc(N=Nc3ccc(O)c4ncccc34)sc2cc1C,DMSO,45.1,570.0
O=C(O)c1ccccc1C(=O)c1c2c(n3ccccc13)C(=O)c1ccccc1C2=O,Ethanol,51.9,493.0
O=C1C(Cl)=C(NCc2ccccc2)C(=O)C(Cl)=C1NCc1ccccc1,Chloroform,39.1,539.0
O=C(O)c1cc(-c2ccccc2)nc2ccccc12,Ethanol,51.9,365.0
Cc1nccnc1C(=O)C=Cc1ccc([N+](=O)[O-])cc1,Ethanol,51.9,315.0
c1ccc(-c2cn3ccccc3n2)cc1,Cyclohexane,30.9,336.0
OCOc1c2ccccc2cc2ccccc12,Acetonitrile,45.6,372.0
CN1C(=CC=C2C=CC(=O)c3ncccc32)Sc2ccccc21,THF,37.4,605.0
O=C(C=Cc1cn(Cc2ccccc2)c2ccccc12)c1ccc2ccccc2c1,DCM,40.7,405.0
CN(C)c1ccc(C=CC=CC(O)=C2C(=O)c3ccccc3C2=O)cc1,Acetonitrile,45.6,520.0
COc1ccc(-c2nnc(-c3ccn4c(C)nc(Cl)c4c3)o2)cc1,DCM,40.7,305.0
C(=Cc1ccn2cc(-c3ccccc3)nc2c1)c1ccc(NN2CCCCC2)cc1,Toluene,33.9,581.0
CN1c2ccccc2Sc2cccc(C=Nc3ccc4c(c3)Cc3ccccc3-4)c21,DCM,40.7,302.0
N#Cc1ccc2c(c1)CCc1nc(-c3ccc([N+](=O)[O-])cc3)c3c(c1-2)CCc1cc(C#N)ccc1-3,DMSO,45.1,360.0
CCc1nccnc1C(=O)C=Cc1ccc(OCc2ccccc2)cc1,Ethanol,51.9,250.0
CCC1=C(C)C(=O)NC1=Cc1[nH]c(C(C)(C)c2[nH]c(C=C3NC(=O)C(C)=C3CC)c(C)c2CC(=O)O)c(CC(=O)O)c1C,Benzene,34.3,438.0
CC(C)(C)c1ccc(-c2nc3ccc(-c4ccc5nc(-c6ccc(C(C)(C)C)cc6)oc5c4)cc3o2)cc1,Other,,332.0
CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(Br)cc2CC4)-c2ccc(Br)cc2CC3)cc1,Chloroform,39.1,430.0
Cn1c(=O)cc(O)c2ccccc21,Methanol,55.4,400.0
CC1c2cc(-c3c4ccccc4cc4ccccc34)ccc2-c2cc3nc4c5cccc6ccc7cccc(c4nc3cc21)c7c65,DMSO,45.1,425.0
c1ccc(-c2nnc(N=Nc3ccc(-c4cccs4)s3)s2)cc1,DMSO,45.1,515.0
c1csc(-c2ccc(N=Nc3nccs3)s2)c1,Dioxane,36.0,497.0
Cc1cc2nc(N=Nc3c(-c4ccccc4)n(C)c4ccccc34)sc2cc1C,Chloroform,39.1,531.0
Cc1cc(=O)oc2cc3[nH]c(-c4ccccc4)nc3cc12,Other,,346.0
CC1c2cc(-c3c4ccccc4cc4ccccc34)ccc2-c2cc3nc(-c4ccccc4)c(-c4ccccc4)nc3cc21,DMSO,45.1,392.0
CN(C)c1ccc(C(=C(C#N)C#N)C(=C(C#N)C#N)c2ccc(C(=O)O)cc2)cc1,DCM,40.7,468.0
NC(Cc1c[nH]c2ccccc12)C(=O)O,Water,63.1,275.0
Oc1ccccc1-c1sc(-c2ccc(Cl)cc2)nc1O,Dioxane,36.0,365.0
CN(C)c1ccc(C=Cc2cc(-c3ccccc3)c(C=CC3=C(C#N)C(=C(C#N)C#N)OC3(C)C)cc2-c2ccccc2)cc1,DMF,43.2,473.5
Cc1cc(C)c(N=Cc2cc(C)cc(C(c3ccccc3)c3ccccc3)c2O)c(C)c1,Toluene,33.9,349.0
C=Cc1ccncc1,DMSO,45.1,325.0
C(=Cc1nc2ccccc2s1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,Methanol,55.4,343.0
N#Cc1c2c3c(oc(=O)c2c(=N)n2[nH]c(-c4ccccc4)cc12)-c1ccccc1CC3,DMF,43.2,428.0
CCn1cc(C=C(C#N)c2nc3ccccc3[nH]2)c2ccccc21,Toluene,33.9,422.0
COc1ccc(-c2c(N=NC3NC=C([N+](=O)[O-])S3)sc(N)c2C#N)cc1,Acetone,42.2,592.0
Oc1ccccc1C=NCc1ccccc1OCCCOc1ccccc1CN=Cc1ccccc1O,DMF,43.2,0.0
c1ccc(-c2ccc3nc(Nc4ccc5cc(-c6ccccc6)ccc5n4)ccc3c2)cc1,DCM,40.7,453.0
c1ccc(N(c2ccccc2)c2ccc(C(n3cccn3)n3cccn3)cc2)cc1,DMF,43.2,301.0
CCN(CC)c1ccc(C=Cc2ccn3cc(-c4ccccc4-c4ccc(Cl)cc4)nc3c2)cc1,Toluene,33.9,410.0
CCn1c2ccccc2c2ccccc21,Other,,525.0
CC1c2cc(-c3ccccc3)ccc2-c2cc3nc4c5cccc6ccc7cccc(c4nc3cc21)c7c65,DMSO,45.1,428.0
COc1ccc(N=Nc2c(N)n3c(nc4ccccc43)[nH]c2=O)cc1,Chloroform,39.1,420.0
c1ccc(-n2c3ccccc3c3ccccc32)cc1,Cyclohexane,30.9,407.0
CCOC(=O)C1=C(c2ccccc2)NC(=O)C1=Cc1cccc2ccccc12,DMSO,45.1,419.0
CCc1cc(C)cc(CC)c1N=Cc1cc(C)cc(C(c2ccccc2)c2ccccc2)c1O,Toluene,33.9,347.0
CC(C)(C)[Si](C)(C)OC[C@H]1OC(n2ccc(=O)[nH]c2=O)=C(Cl)[C@@H]1O[Si](C)(C)C(C)(C)C,Methanol,55.4,254.0
Cc1ccc(S(N)(=O)=O)cc1,Acetonitrile,45.6,225.0
O=[N+]([O-])c1ccc([C@H]2CO2)cc1,Ethanol,51.9,740.0
Oc1ccccc1-c1sc(-c2ccccc2)nc1O,Dioxane,36.0,360.0
CC1(C)CCN2CCC(C)(C)c3c2c1cc1c(C(F)(F)F)cc(=O)oc31,DCM,40.7,417.0
CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,Acetonitrile,45.6,453.0
Cc1ccc(C(=Cc2ccc3ccccc3n2)NN=Cc2ccccc2)cc1,Ethanol,51.9,449.0
CCCNc1ccc(C2=c3cc4c(cc3OC2=O)=C(c2ccccc2)C(=O)O4)cc1,DMF,43.2,652.0
CN(C)c1ccc(-c2nc(-c3ccc(C#N)cc3)[nH]c2-c2ccc(N(C)C)cc2)cc1,DCM,40.7,397.0
CCn1c2ccccc2c2cc(-c3nc(-c4cccs4)c(-c4cccs4)n3-c3ccc(OC)cc3)ccc21,DMSO,45.1,306.0
CN1c2ccccc2Sc2cccc(C=Nc3ccc4ccccc4c3)c21,DCM,40.7,370.0
N#CC(=Cc1ccccc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,THF,37.4,397.0
COc1c(C=C(c2ccccc2)c2ccccc2)cc2c3ccccc3n(C)c2c1C=C(c1ccccc1)c1ccccc1,THF,37.4,476.0
CCC1=C(C)c2cc3[nH]c(c(C)c3CC)c(-c3ccc(O)cc3)c3nc(cc4[nH]c(cc1n2)c(CC)c4C)C(CC)=C3C,Other,,822.0
CCOC(=O)c1sc2nc(-c3ccco3)cc(C(F)(F)F)c2c1N=Nc1ccc(N(C)C)cc1,DMF,43.2,448.0
CC1CC=C(c2ccc(-c3ccc(C#N)s3)s2)CC1,Other,,366.0
c1ccc(-c2c3ccccc3c(-c3ccc4oc5ccc(-c6c7ccccc7c(-c7ccccc7)c7ccccc67)cc5c4c3)c3ccccc23)cc1,DCM,40.7,375.0
CCN(CC)c1ccc2c(O)c(N=Nc3ccc(C(=O)O)cc3)c(=O)oc2c1,Methanol,55.4,480.0
COc1ccc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)cc1,DMSO,45.1,405.0
Cc1ccc2c(-c3cc(-c4cc5ccccc5oc4=O)nc(-c4cc5ccccc5oc4=O)c3)cc(=O)oc2c1,Other,,352.0
CC(=O)Nc1ccc(C(=O)NC2=CC(=O)C(=O)c3ccccc32)cc1,Ethanol,51.9,293.0
O=C(C=Cc1ccccc1)CC(=O)C=Cc1ccccc1,Acetonitrile,45.6,390.0
c1ccc(-n2c(-c3ccc(-c4nc(-c5ccc(-c6nc7ccccc7n6-c6ccccc6)cc5)c5ccccc5n4)cc3)nc3ccccc32)cc1,DCM,40.7,342.0
N#CC(=Cc1ccc2ccccc2c1)c1ccc(N(c2ccccc2)c2ccc3ccccc3c2)cc1,THF,37.4,412.0
CCC1(CC)c2cc(C=C(C#N)C(=O)O)ccc2-c2ccc(-c3ccc(-c4ccc5ccc6cccc7ccc4c5c67)s3)cc21,THF,37.4,508.1
N#CC(C#N)=C1C=C(Nc2ccc([N+](=O)[O-])cc2)c2ccccc21,Acetone,42.2,529.0
COc1ccc2c(c1)-c1oc(=O)c3c(=N)n4[nH]c(-c5ccccc5)cc4c(C#N)c3c1CC2,DMF,43.2,428.0
CC(C)c1ccc(N=Cc2cc(N=Nc3ccccc3)ccc2O)cc1,DMSO,45.1,240.0
COc1ccc(Cc2nnc3sc(-c4ccc(-c5ccc(-c6ccccc6)cc5)cc4)nn23)cc1,DMSO,45.1,263.0
C(#Cc1cc(C#Cc2ccccc2)nc(C#Cc2ccccc2)n1)c1ccccc1,Chloroform,39.1,341.0
Nc1ccc(-c2nc3ccccc3s2)c(O)c1,Water,63.1,365.0
COc1ccc2nc3nc4c(cc3cc2c1)-c1ccccc1C4,Acetone,42.2,373.0
Oc1cccc(O)c1-c1nc2ccccc2o1,Water,63.1,334.0
COc1ccc2nc(N=Nc3ccc(O)c4ncccc34)sc2c1,DMSO,45.1,506.0
N#Cc1c(N)nc(N)c(C#N)c1-c1ccc(Cl)cc1Cl,THF,37.4,332.0
O=[N+]([O-])c1ccc(C=NN=CC=Cc2ccccc2)cc1,Dioxane,36.0,346.0
O=[N+]([O-])c1ccc2nc(N=Nc3c(-c4ccccc4)[nH]c4ccccc34)sc2c1,Chloroform,39.1,506.0
Nc1c(N=Nc2ccc([N+](=O)[O-])cc2)c(=O)[nH]c2nc3ccccc3n12,Chloroform,39.1,474.0
[2H]C=CC1=C(n2ccc(=O)[nH]c2=O)O[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,Methanol,55.4,251.0
COc1cccc(C=NNC(=O)c2cc3ccccc3cc2O)c1O,Methanol,55.4,225.0
CN1C(=O)C(=CC=CC=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)C(=O)N(C)C1=S,DCM,40.7,620.0
CCC1=C(C)C(=O)NC1=Cc1[nH]c(C(C)(C)c2[nH]c(C=C3NC(=O)C(C)=C3CC)c(C)c2CCC(=O)OC)c(CCC(=O)OC)c1C,Benzene,34.3,428.0
C(=Cc1ccc(-n2ccnc2)cc1)c1ccc(-c2ccnc(-c3cccc(-c4ccccc4)n3)c2)cc1,DMF,43.2,426.0
c1ccc2c(-c3scc4c3OCCO4)c3ccccc3cc2c1,DCM,40.7,370.0
CC1c2ccccc2-c2cc3nc4c5ccccc5c5ccccc5c4nc3cc21,DMSO,45.1,389.0
N#CC1(N)CC(c2ccccc2)=C(N=Nc2ccc([N+](=O)[O-])cc2)S1,Acetone,42.2,568.0
COc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1OC,Chloroform,39.1,324.0
C#CCN(CC#C)CC#Cc1nn([C@H]2C[C@H](O)[C@@H](CO)O2)c2nc(NC(=O)C(C)C)[nH]c(=O)c12,Methanol,55.4,286.0
COc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,DMSO,45.1,322.0
Cc1c(C(=O)C=Cc2ccc(Cl)cc2)nnn1-c1ccnc2cc(Cl)ccc12,Methanol,55.4,235.0
Clc1ccc(-c2cc3cc(-c4nnc(-c5ccccc5)o4)ccn3n2)cc1,Cyclohexane,30.9,342.0
Oc1ccc(C=Nc2ccccc2)cc1,Ethanol,51.9,293.0
CN(C)c1ccc(-c2nc(-c3ccc(-c4ccc([N+](=O)[O-])cc4)cc3)[nH]c2-c2ccc(N(C)C)cc2)cc1,DCM,40.7,417.0
CCN(CC)c1ccc2c(O)c(C(=O)C=Cc3ccc4c(c3)c3ccccc3n4CC)c(=O)oc2c1,DCM,40.7,545.0
CCOC(=O)c1cc2cc(C(C)=O)cn2cc1-c1ccc(OC)cc1,DCM,40.7,266.0
CC1c2ccccc2-c2cc3[nH]c(-c4ccc(F)cc4)nc3cc21,DMSO,45.1,354.0
Oc1ccc(N=Nc2nc3ccc(Cl)cc3s2)c2cccnc12,DMSO,45.1,564.0
Cc1nsc2nc3c(F)c(F)c(F)c(F)c3cc12,Ethanol,51.9,363.0
CN(C)c1ccc(C=Cc2cc(C=Cc3ccc(N(C)C)cc3)nc(I)n2)cc1,DCM,40.7,450.0
Nc1nn2c(-c3ccccc3)ccnc2c1N=Nc1ccc([N+](=O)[O-])cc1,Cyclohexane,30.9,415.0
COC(=O)C1=C(C(N)=O)N2N=Cc3ccccc3C2C1C(=O)OC,Ethanol,51.9,487.0
CC(C)(C)[Si](C)(C)OC[C@H]1OC(n2ccc(=O)[nH]c2=O)=C(Br)[C@@H]1O[Si](C)(C)C(C)(C)C,Methanol,55.4,255.0
O=C1Nc2ccccc2C1=Cc1ccc(-c2ccccc2)cc1,DMSO,45.1,345.0
c1ccc2sc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)nc2c1,Methanol,55.4,345.0
Fc1ccc(-c2cc(-c3ccc(F)cc3)c3ccc4c(-c5ccc(F)cc5)cc(-c5ccc(F)cc5)c5ccc2c3c54)cc1,Cyclohexane,30.9,387.0
Cc1nc(Cl)c2cc(-c3nnc(COc4ccc(-c5ccccc5)cc4)o3)ccn12,Acetonitrile,45.6,367.0
COC(=O)c1c(C(=O)OC)c2ccc(C=Cc3ccc(F)cc3)nn2c1C(=O)OC,Methanol,55.4,454.0
COc1ccc2nc3nc(-c4ccc([N+](=O)[O-])cc4)ccc3cc2c1,Acetone,42.2,394.0
CCOC(=O)c1cc2cc(C(=O)c3ccccc3)cn2cc1-c1ccc(Cl)cc1,DCM,40.7,279.0
Cc1nc(Cl)c2cc(-c3nnc(COc4ccc(Cl)cc4)o3)ccn12,Acetonitrile,45.6,369.0
O=S(=O)(O)c1ccc2c(ccc3nn(-c4ccc(-c5nc(-c6ccccc6)c(-c6ccccc6)[nH]5)cc4)nc32)c1,DMSO,45.1,363.0
Nc1ccc(Nc2nc(N(c3ccccc3)c3ccccc3)nc(N(c3ccccc3)c3ccccc3)n2)cc1,DCM,40.7,284.0
Cc1nc(Cl)c2cc(-c3nnc(-c4ccccc4F)o3)ccn12,DCM,40.7,277.0
CCN1C(=CC2=C([O-])C(=CC3=[N+](CC)c4ccc5ccccc5c4C3(C)C)C2=O)C(C)(C)c2c1ccc1ccccc21,Chloroform,39.1,665.5
O=c1[nH]c(-c2ccc(Cl)cc2)cn2nc(-c3ccccc3)cc12,THF,37.4,331.0
COC(=O)c1c(C(=O)OC)c2ccccn2c1-c1nc(C#N)c(C#N)nc1-c1ccccc1,THF,37.4,440.0
CCOC(=O)c1c(N)sc2c1-c1ccccc1C2=Cc1ccc(N(C)C)cc1,Acetone,42.2,421.0
C1=Cc2cccc3cccc1c23,Cyclohexane,30.9,325.0
COc1cccc(N=Nc2c(N)n3c(nc4ccccc43)[nH]c2=O)c1,Chloroform,39.1,418.0
CCCOc1cc(-c2ccccn2)nc(-c2ccccn2)c1,Acetonitrile,45.6,277.0
COc1ccccc1N=Nc1c(N)n2c(nc3ccccc32)[nH]c1=O,Chloroform,39.1,422.0
COc1ccc2nc3nc4c(cc3cc2c1)C(=O)CC(C)(C)C4,DMF,43.2,407.0
CCOC(=O)C1=C(c2ccc(-c3ccccc3)cc2)NC(=O)C1=Cc1ccccc1,DMSO,45.1,417.0
O=S(=O)(c1cccc(N2N=C(c3ccc(Cl)cc3)CC2c2ccco2)c1)c1cccc(N2N=C(c3ccc(Cl)cc3)CC2c2ccco2)c1,DCM,40.7,357.0
Oc1cccc(O)c1O,Water,63.1,354.0
CCOC(=O)C1=C(c2ccc(-c3ccccc3)cc2)NC(=O)C1=Cc1ccc(N(C)C)cc1,DMSO,45.1,478.0
COc1ccc(C=NCCN=Cc2ccc(OC)cc2)cc1,DCM,40.7,256.0
CS(=O)(=O)c1ccc(-c2ccc(C3=C4C(=O)NC(c5ccc(-c6ccc(S(C)(=O)=O)cc6)cc5)=C4C(=O)N3)cc2)cc1,DCM,40.7,540.0
CC(C)CN1C(=O)c2cccc3c(NCCO)ccc(c23)C1=O,DCM,40.7,430.0
CN1c2ccccc2Sc2cc(C=[N+]([O-])c3ccc(Cl)cc3)ccc21,DCM,40.7,316.0
CCOC(=O)c1cc2cc(C(C)=O)cn2cc1-c1ccccc1,DCM,40.7,269.0
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(C=C(C#N)C(=O)O)cn3)cc2)cc1,THF,37.4,426.0
CCN(CC)c1ccc2cc(C=CC(=O)c3c(O)c4ccccc4n(C)c3=O)c(=O)oc2c1,Methanol,55.4,511.0
Cc1ccc2c(-c3cnc4ccccc4c3)c3ccccc3c(-c3cnc4ccccc4c3)c2c1,THF,37.4,421.0
O=C(O)c1ccccc1N=Nc1nc2ccc([N+](=O)[O-])cc2s1,Methanol,55.4,347.0
COc1ccc(C=Cc2ccc(O)c(C=NCCN(C)C)c2)cc1,DMSO,45.1,318.0
CCN1CCN(CC)c2cc3oc(=O)c(-c4nc5ccccc5[nH]4)cc3cc21,Methanol,55.4,487.0
c1ccc(N(c2ccccc2)c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,DMF,43.2,289.0
COC(=O)c1cc(C(=O)OC)n2ncc3ccccc3c12,Cyclohexane,30.9,446.0
Clc1ccc(-n2cccc2)cc1,Chloroform,39.1,312.0
COc1ccc(-c2cc(-c3nnc(-c4ccccc4)o3)n(Cc3ccc(C(C)(C)C)cc3)n2)cc1,DCM,40.7,273.0
CCN(CC)c1ccc(C(=O)NC(C)C)cc1,Acetonitrile,45.6,307.0
Cc1cc2nc(N=Nc3c(-c4ccccc4)[nH]c4ccccc34)sc2cc1C,Chloroform,39.1,541.0
COc1ccc(-c2c(C#N)c(N)nc(N)c2C#N)cc1,THF,37.4,339.0
COC(=O)c1cc(C(=O)OC)n2nc(-c3ccc(Cl)cc3)ccc12,Acetonitrile,45.6,356.0
COc1ccc(-n2cccc2)cc1,Chloroform,39.1,325.0
N#Cc1c(N)nc(N)c(C#N)c1-c1ccc(Cl)cc1,THF,37.4,339.0
Cc1ccc2c(C=Cc3ccc(N(C)c4ccccc4)cc3)cc(=O)oc2c1,Chloroform,39.1,424.0
CN(c1ccccc1)c1ccc(-c2cc3cccc4c5nc(-c6ccc(N(C)c7ccccc7)cc6)cc6cccc(c(n2)c34)c65)cc1,Toluene,33.9,351.0
