SMI,canonical_smi,lambda_max_exp_nm,extinction,solvent
OC(=O)c1nc2c(nc1C(=O)O)c1c3c2cccc3c(cc1)N(c1ccccc1)c1ccccc1,O=C(O)c1nc2c(nc1C(=O)O)-c1ccc(N(c3ccccc3)c3ccccc3)c3cccc-2c13,461.0,,
CC(=O)N1N=C(CC1c1c2ccccc2cc2c1cccc2)c1ccccc1,CC(=O)N1N=C(c2ccccc2)CC1c1c2ccccc2cc2ccccc12,458.0,,
ClCCCn1c(Br)nc2c1c(=O)n(C)c(=O)n2C,Cn1c(=O)c2c(nc(Br)n2CCCCl)n(C)c1=O,317.5,22908.67653,
CO[Si](CCCSC(=O)c1ccccc1Cl)(OC)OC,CO[Si](CCCSC(=O)c1ccccc1Cl)(OC)OC,274.0,116700.0,chloroform
CSc1ccc(cc1)N=Nc1nc2c(s1)cccc2,CSc1ccc(N=Nc2nc3ccccc3s2)cc1,403.0,,Methanol
COc1ccc2c(c1)oc(=O)cc2CSc1ccccc1,COc1ccc2c(CSc3ccccc3)cc(=O)oc2c1,323.0,,
CCOC(=O)C1C(=O)C=C(CC1c1ccc(cc1)Cl)c1ccco1,CCOC(=O)C1C(=O)C=C(c2ccco2)CC1c1ccc(Cl)cc1,331.0,,
O=c1[nH]c(c2c1c([nH]c2=O)c1ccccc1)c1ccccc1,O=C1NC(c2ccccc2)=C2C(=O)NC(c3ccccc3)=C12,507.0,,dimethylsufoxide
Brc1sc(c2c1SC(=C1Sc3c(S1)c(sc3Br)Br)S2)Br,Brc1sc(Br)c2c1SC(=C1Sc3c(Br)sc(Br)c3S1)S2,300.0,,
Clc1ccc2c(c1)nccc2NCCNCCCOc1ccc2c(c1)c1c(cc2)OC2=C(C1c1ccc(cc1)C(F)(F)F)C(=O)CC(C2)(C)C,CC1(C)CC(=O)C2=C(C1)Oc1ccc3ccc(OCCCNCCNc4ccnc5cc(Cl)ccc45)cc3c1C2c1ccc(C(F)(F)F)cc1,329.0,10000.0,methanol
c1ccc2=NC3=CC=CC4=NC=NC34N=c2c1,C1=CC2=NC=NC23N=c2ccccc2=NC3=C1,262.0,,
COc1cc2ccccc2cc1C=Cc1cc2ccccc2c2c1OC(C=C2)(c1ccccc1)c1ccccc1,COc1cc2ccccc2cc1C=Cc1cc2ccccc2c2c1OC(c1ccccc1)(c1ccccc1)C=C2,450.0,,
Cc1cc(c(s1)C)C1=C(CC(C1=O)N1CCOCC1)c1cc(sc1C)C,Cc1cc(C2=C(c3cc(C)sc3C)C(=O)C(N3CCOCC3)C2)c(C)s1,318.0,,
Cc1nn(c(c1I)C)Cn1nc(c(c1C)I)C,Cc1nn(Cn2nc(C)c(I)c2C)c(C)c1I,204.0,6559.0,
Oc1ccccc1N=Cc1cc(cc(c1O)C(C)(C)C)C(C)(C)C,CC(C)(C)c1cc(C=Nc2ccccc2O)c(O)c(C(C)(C)C)c1,344.0,,
c1cc2OCCc2c(c1)c1ccc(c2c1cc[nH]2)c1cccc2c1CCO2,c1cc2c(c(-c3ccc(-c4cccc5c4CCO5)c4[nH]ccc34)c1)CCO2,321.0,,
C1(C)c2cc3nc([nH]c3cc2c2c1cc1nc([nH]c1c2)c1ccccc1F)c1ccccc1F,CC1c2cc3nc(-c4ccccc4F)[nH]c3cc2-c2cc3[nH]c(-c4ccccc4F)nc3cc21,385.0,,
c1ccc(nc1)c1nc2c(o1)c1cccnc1c1c2cccn1,c1ccc(-c2nc3c4cccnc4c4ncccc4c3o2)nc1,290.0,52160.0,
O=C(Cc1cc(=O)oc2c1c1ccccc1cc2)NCc1nnn(c1)C([C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(=O)[nH]c1=O)O,O=C(Cc1cc(=O)oc2ccc3ccccc3c12)NCc1cn(C(O)[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)nn1,350.0,,
c1ccc(cc1)c1c(ccn2c1nc1c2cccc1)c1nnc(o1)c1ccccc1,c1ccc(-c2nnc(-c3ccn4c(nc5ccccc54)c3-c3ccccc3)o2)cc1,342.0,,
Cc1sc(c(c1)C1=C(C(=O)CC1)c1ccccc1)C,Cc1cc(C2=C(c3ccccc3)C(=O)CC2)c(C)s1,308.0,,
N#CC(=Cc1ccc(s1)c1c2cc(ccc2c(c2c1ccc(c2)C(C)(C)C)N(c1cccc2c1cccc2)c1ccccc1)C(C)(C)C)C(=O)O,CC(C)(C)c1ccc2c(N(c3ccccc3)c3cccc4ccccc34)c3cc(C(C)(C)C)ccc3c(-c3ccc(C=C(C#N)C(=O)O)s3)c2c1,634.0,,THF
c1ccc(cc1)n1c2ccccc2c2c1ccc(c2)c1ccc(cc1)c1nc2c(s1)cccc2,c1ccc(-n2c3ccccc3c3cc(-c4ccc(-c5nc6ccccc6s5)cc4)ccc32)cc1,448.0,,
c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)c1ccc(cc1)c1nc2c(n1c1ccccc1)cccc2,c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4nc5ccccc5n4-c4ccccc4)cc3)cc2)cc1,355.0,,Tetrahydrofuran
COc1ccc(cc1)N=Nc1c([nH]c2n1nc(c2N=Nc1ccccc1)C)c1ccccc1,COc1ccc(N=Nc2c(-c3ccccc3)[nH]c3c(N=Nc4ccccc4)c(C)nn23)cc1,526.0,,dioxane
Nc1ccc2c(c1)C(=O)c1c(C2=O)cccc1,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,468.9,,methanol
O=S(=O)(C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,O=S(=O)(C=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)C=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,402.0,,
Fc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(c(c1F)C#Cc1ccccc1)C#Cc1ccccc1,Fc1c(F)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c1C#Cc1ccccc1,390.0,,
CCn1cc(C(=O)O)c(=O)c2c1cc1OCOc1c2,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,490.0,,
N#CC(=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)c1ccc2c(c1)cccc2,N#CC(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2ccc3ccccc3c2)cc1,412.0,,Cyclohexane
c1csc(c1)c1ccc2c3c1ccc1c3c(cc2)ccc1,c1csc(-c2ccc3ccc4cccc5ccc2c3c45)c1,347.0,,chloroform
CCOC(=O)c1n2nc(ccc2c(c1C(=O)OC)C(=O)OC)c1ccc(cc1)Cl,CCOC(=O)c1c(C(=O)OC)c(C(=O)OC)c2ccc(-c3ccc(Cl)cc3)nn12,350.0,,acetonitrile
c1ccc(nc1)c1nc2c([nH]1)c1cccnc1c1c2cccn1,c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)nc1,303.0,54810.0,
[O-][N+](=O)c1ccc2c(c1)oc(n2)c1cccc(n1)c1nc2c(o1)cc(cc2)[N+](=O)[O-],O=[N+]([O-])c1ccc2nc(-c3cccc(-c4nc5ccc([N+](=O)[O-])cc5o4)n3)oc2c1,355.0,,
CCOC(=O)c1cc2c(n1Cc1ccc(cc1)OC)c1[nH]c(=O)c(cc1CC2)S(=O)(=O)c1ccccc1,CCOC(=O)c1cc2c(n1Cc1ccc(OC)cc1)-c1[nH]c(=O)c(S(=O)(=O)c3ccccc3)cc1CC2,382.0,35577.0,
COc1c(O)ccc2c1C(=O)OC2,COc1c(O)ccc2c1C(=O)OC2,482.0,27800.0,DMF
Clc1ccc(cc1)c1cc(n(n1)Cc1ccc(cc1)C(C)(C)C)c1nnc(o1)c1ccccc1,CC(C)(C)c1ccc(Cn2nc(-c3ccc(Cl)cc3)cc2-c2nnc(-c3ccccc3)o2)cc1,274.0,,dichloromethane
Clc1ccc(cc1)c1nnc(o1)c1ccn2c(c1c1ccccc1)nc1c2cccc1,Clc1ccc(-c2nnc(-c3ccn4c(nc5ccccc54)c3-c3ccccc3)o2)cc1,341.0,,
N#Cc1c(N)sc2c1c1ccccc1C2=O,N#Cc1c(N)sc2c1-c1ccccc1C2=O,531.0,,acetone
COc1ccccc1C=c1oc(=Cc2ccc(cc2)N(C)C)c2c1cccc2,COc1ccccc1C=c1oc(=Cc2ccc(N(C)C)cc2)c2ccccc12,406.0,33600.0,
COC(=O)[C@@H](NS(=O)(=O)c1ccccc1[N+](=O)[O-])Cc1c([nH]c2c1cccc2)C(=C)c1ccccc1,C=C(c1ccccc1)c1[nH]c2ccccc2c1C[C@H](NS(=O)(=O)c1ccccc1[N+](=O)[O-])C(=O)OC,301.0,,
COc1ccc(cc1)C=Cc1ccc(cc1)N(c1ccc(cc1)C=Cc1ccc(cc1)OC)c1ccc(cc1)C=Cc1ccc(cc1)OC,COc1ccc(C=Cc2ccc(N(c3ccc(C=Cc4ccc(OC)cc4)cc3)c3ccc(C=Cc4ccc(OC)cc4)cc3)cc2)cc1,396.0,,
CC(=O)O[C@@H]1[C@H](OC(=O)C)[C@H](O[C@H]1n1ccc(=S)[nH]c1=O)COC(=O)C,CC(=O)OC[C@H]1O[C@@H](n2ccc(=S)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,550.0,20600.0,
CC(C(=O)Nc1ccc(cc1)S(=O)(=O)N)Br,CC(Br)C(=O)Nc1ccc(S(N)(=O)=O)cc1,266.0,,
COc1ccc(cc1)c1ccc(nc1)c1ccccn1,COc1ccc(-c2ccc(-c3ccccn3)nc2)cc1,339.0,,
c1ccc(cc1)N(c1ccc2c(c1)cccc2)c1ccc2c(c1)ccc(n2)Nc1ccc2c(n1)ccc(c2)N(c1ccc2c(c1)cccc2)c1ccccc1,c1ccc(N(c2ccc3ccccc3c2)c2ccc3nc(Nc4ccc5cc(N(c6ccccc6)c6ccc7ccccc7c6)ccc5n4)ccc3c2)cc1,505.0,,
c1ccc(cc1)c1ccc(nc1)c1ccccn1,c1ccc(-c2ccc(-c3ccccn3)nc2)cc1,322.0,,
COc1ccc(cc1)C(=O)CC(=O)c1cccc(n1)C(=O)CC(=O)c1ccc(cc1)OC,COc1ccc(C(=O)CC(=O)c2cccc(C(=O)CC(=O)c3ccc(OC)cc3)n2)cc1,356.0,40738.02778,
O=Cc1ccc(s1)c1ccc(cc1)C#N,N#Cc1ccc(-c2ccc(C=O)s2)cc1,386.0,,
CCn1c2ccccc2c2c1nc1cc3c(=O)[nH][nH]c(=O)c3cc1n2,CCn1c2ccccc2c2nc3cc4c(=O)[nH][nH]c(=O)c4cc3nc21,408.0,,DMF
N#CC(=Cc1ccc(s1)c1ccc2c3c1cccc3c1c2c(c2ccccc2)c2c(c1c1ccccc1)cccc2)C(=O)O,N#CC(=Cc1ccc(-c2ccc3c4c(cccc24)-c2c-3c(-c3ccccc3)c3ccccc3c2-c2ccccc2)s1)C(=O)O,445.0,,
C#Cc1ccc(cc1)N(c1ccc(cc1)C#C)c1ccc(cc1)C=C1Cc2c(C1=O)cccc2,C#Cc1ccc(N(c2ccc(C#C)cc2)c2ccc(C=C3Cc4ccccc4C3=O)cc2)cc1,434.0,,
Cc1nn(c2c1c1nc3c(n1c(c2)c1ccccc1)cccc3)c1ccccc1,Cc1nn(-c2ccccc2)c2cc(-c3ccccc3)n3c4ccccc4nc3c12,283.0,,
N#Cc1cnn2c1nc(C)c1c2OCC1,Cc1nc2c(C#N)cnn2c2c1CCO2,318.0,,
CC1CCC(=CSC=Cc2ccc(cc2)C=CSC=C2CCC(CC2)C)CC1,CC1CCC(=CSC=Cc2ccc(C=CSC=C3CCC(C)CC3)cc2)CC1,350.0,,CH 2 Cl 2
O=C1C(=CC=C2OC(=CC(=C2)c2ccccc2)c2ccccc2)C(=O)c2c1csc2,O=C1C(=CC=C2C=C(c3ccccc3)C=C(c3ccccc3)O2)C(=O)c2cscc21,619.0,,dichloromethane
c1ccc2c(c1)C=C(C2)c1ccc(cc1)c1nnc(o1)c1cccs1,C1=C(c2ccc(-c3nnc(-c4cccs4)o3)cc2)Cc2ccccc21,351.0,,
COc1ccc(cc1)C#Cc1cc2c(C)cc(c3c2c2c1cc(cc2c(c3)C#Cc1ccc(cc1)OC)C(C)(C)C)C,COc1ccc(C#Cc2cc3c(C)cc(C)c4cc(C#Cc5ccc(OC)cc5)c5cc(C(C)(C)C)cc2c5c34)cc1,385.0,31622.7766,
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(=O)[nH]c1=O,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,262.0,,
Clc1ccc2c(c1)c(C#Cc1ccccc1)c1c(c2C#Cc2ccccc2)cccc1,Clc1ccc2c(C#Cc3ccccc3)c3ccccc3c(C#Cc3ccccc3)c2c1,514.0,,
CCOc1ccccc1c1c(C#N)c(N)nc(c1C#N)N,CCOc1ccccc1-c1c(C#N)c(N)nc(N)c1C#N,338.0,,THF
c1ccc2c(c1)cc(cc2)c1ccc(cc1)c1ccc(cc1)c1ccc2c(c1)cccc2,c1ccc2cc(-c3ccc(-c4ccc(-c5ccc6ccccc6c5)cc4)cc3)ccc2c1,398.0,,
C=CCOc1ccc2c(c1)oc1c(c2c2ccccc2C(=O)NC2CC(C)(C)NC(C2)(C)C)ccc(=O)c1,C=CCOc1ccc2c(-c3ccccc3C(=O)NC3CC(C)(C)NC(C)(C)C3)c3ccc(=O)cc-3oc2c1,486.0,,
N#CC(=Cc1ccc(cc1F)C=Cc1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1)C(=O)O,N#CC(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3cccc4ccccc34)cc2)cc1F)C(=O)O,427.0,,
Cc1sc(c(c1)C(=O)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)C,Cc1cc(C(=O)C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c(C)s1,413.0,,
O=c1[nH]c2ccccc2n(c1=O)C(=O)C,CC(=O)n1c(=O)c(=O)[nH]c2ccccc21,250.0,,
COc1ccc(cc1)c1c([nH]c2c1cccc2)c1ccc(cc1)S(=O)(=O)N,COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1,237.0,,
CCOC(=O)c1c[nH]c2c(c1=O)cc(c(c2)c1nc2c(s1)cccc2)O,CCOC(=O)c1c[nH]c2cc(-c3nc4ccccc4s3)c(O)cc2c1=O,638.0,,Dioxane
c1ccc(nc1)c1ccc2c(c1)Cc1c2ccc(c1)c1nc2c(s1)cccc2,c1ccc(-c2ccc3c(c2)Cc2cc(-c4nc5ccccc5s4)ccc2-3)nc1,272.0,53900.0,
O=c1[nH]c2c(cc1S(=O)(=O)c1ccccc1)CCc1c2n(cc1)Cc1ccccc1,O=c1[nH]c2c(cc1S(=O)(=O)c1ccccc1)CCc1ccn(Cc3ccccc3)c1-2,375.0,33182.0,
CCOc1ccc(cc1)c1c2ccccc2c(c2c1cc(cc2)c1ccccc1)c1ccc2c(c1)cccc2,CCOc1ccc(-c2c3ccccc3c(-c3ccc4ccccc4c3)c3ccc(-c4ccccc4)cc23)cc1,396.0,10445.0,
Cc1cccc(c1)C,Cc1cccc(C)c1,288.0,2953.0,n-hexane
COc1ccc(cc1)c1ccc(s1)c1ccc(s1)c1ccc(cc1)C#N,COc1ccc(-c2ccc(-c3ccc(-c4ccc(C#N)cc4)s3)s2)cc1,400.0,42657.95188,
Cc1cc(C=Nc2c(C)cccc2C)c(c(c1)C(c1ccccc1)c1ccccc1)O,Cc1cc(C=Nc2c(C)cccc2C)c(O)c(C(c2ccccc2)c2ccccc2)c1,346.0,,Toluene
CCOC(=O)C(=Cc1cn(c2c1cccc2)CC)C#N,CCOC(=O)C(C#N)=Cc1cn(CC)c2ccccc12,393.0,,Toluene
CCNc1nnc(s1)c1ccc(cc1)NC(=S)Nc1ccccc1,CCNc1nnc(-c2ccc(NC(=S)Nc3ccccc3)cc2)s1,465.0,,
Clc1cccc(c1)NN=C(C(=O)c1ccccc1)c1nc(C)cc(=O)[nH]1,Cc1cc(=O)[nH]c(C(=NNc2cccc(Cl)c2)C(=O)c2ccccc2)n1,383.0,23988.32919,
Oc1ccc(c(c1)O)c1nc2c([nH]1)cccc2,Oc1ccc(-c2nc3ccccc3[nH]2)c(O)c1,326.0,,Water
CN(c1ccc(cc1)C=c1c(O)c2ccccc2c2c1nc1ccccc1[nH]2)C,CN(C)c1ccc(C=c2c(O)c3ccccc3c3c2=Nc2ccccc2N3)cc1,571.0,,THF
COc1ccc(cc1Cl)NC(=O)N(C)C,COc1ccc(NC(=O)N(C)C)cc1Cl,445.0,,
O=C(NC12CC3CC(C1)CC(C2)(C3)NC(=O)Nc1ccc2c(c1)cc1c(c2)cccc1)Nc1ccc2c(c1)cc1c(c2)cccc1,O=C(Nc1ccc2cc3ccccc3cc2c1)NC12CC3CC(C1)CC(NC(=O)Nc1ccc4cc5ccccc5cc4c1)(C3)C2,407.0,,DMSO
CN1c2cccc(c2Sc2c1cccc2)C=Nc1ccc2c(c1)Cc1c2cccc1,CN1c2ccccc2Sc2c(C=Nc3ccc4c(c3)Cc3ccccc3-4)cccc21,351.0,17073.0,DCM
CCN(c1ccc2c(c1)oc(=NC(=O)NC(C)C)c(c2)C#N)CC,CCN(CC)c1ccc2cc(C#N)c(=NC(=O)NC(C)C)oc2c1,439.0,,
Cn1cc(c2c1cccc2)C=Cc1cc(=O)oc2c1ccc(c2)C,Cc1ccc2c(C=Cc3cn(C)c4ccccc34)cc(=O)oc2c1,398.0,,chloroform
COC(=O)c1c(C)nn(c1c1ccccc1O)c1nc2c(s1)cccc2,COC(=O)c1c(C)nn(-c2nc3ccccc3s2)c1-c1ccccc1O,292.0,,DMSO
CCc1ccc(cc1)n1c(nc(c1c1ccccc1)c1ccccc1)c1ccccc1,CCc1ccc(-n2c(-c3ccccc3)nc(-c3ccccc3)c2-c2ccccc2)cc1,356.0,,
COc1ccc(cc1)C1(c2ccc(cc2)OC)c2cccnc2c2c1cccn2,COc1ccc(C2(c3ccc(OC)cc3)c3cccnc3-c3ncccc32)cc1,310.0,,
c1ccc(cc1)c1cccc(n1)c1nccc(c1)c1ccc(cc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,C(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2ccnc(-c3cccc(-c4ccccc4)n3)c2)cc1,557.0,,DMF
C(Cn1c(=O)c2c(c1c1ccc(o1)c1cc3c(s1)cccc3)c(=O)n(c2c1ccc(o1)c1cc2c(s1)cccc2)CC(C)CC)CC,CCCCN1C(=O)C2=C(c3ccc(-c4cc5ccccc5s4)o3)N(CC(C)CC)C(=O)C2=C1c1ccc(-c2cc3ccccc3s2)o1,620.0,,CH 2 Cl
Brc1ccc(cc1)[N+](=Cc1ccc2c(c1)Sc1c(N2C)cccc1)[O-],CN1c2ccccc2Sc2cc(C=[N+]([O-])c3ccc(Br)cc3)ccc21,316.0,,dichloromethane
O=C(c1cn(C)c2c(c1=O)cccc2)c1ccccc1Cc1ccccc1,Cn1cc(C(=O)c2ccccc2Cc2ccccc2)c(=O)c2ccccc21,503.0,,
Oc1ccc2c(c1)oc1c(n2)ccc(=O)c1,O=c1ccc2nc3ccc(O)cc3oc-2c1,800.0,,
c1ccc(nc1)c1cccc(c1)c1ccc2c(c1)Cc1c2ccc(c1)c1nc2c(s1)cccc2,c1ccc(-c2cccc(-c3ccc4c(c3)Cc3cc(-c5nc6ccccc6s5)ccc3-4)c2)nc1,273.0,88200.0,
Cc1cc(C)c(c(c1)C)c1nc2c([nH]1)c1cccnc1c1c2cccn1,Cc1cc(C)c(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c(C)c1,298.0,28760.0,
O=C1C(=CC=CC=C2C=C(OC(=C2)c2ccccc2)c2ccccc2)C(=O)c2c1cccc2,O=C1C(=CC=CC=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)C(=O)c2ccccc21,599.0,,dichloromethane
CCOC(=O)c1cc2cc(CN(CC(=O)O)CC(=O)O)c(c(c2oc1=O)CN(CC(=O)O)CC(=O)O)OCCN(CC(=O)O)CC(=O)O,CCOC(=O)c1cc2cc(CN(CC(=O)O)CC(=O)O)c(OCCN(CC(=O)O)CC(=O)O)c(CN(CC(=O)O)CC(=O)O)c2oc1=O,402.0,,
OCCCNc1cc2nc3ccccc3nc2c2c1nccc2,OCCCNc1cc2nc3ccccc3nc2c2cccnc12,468.0,7400.0,
CNCc1nc2c([nH]1)ccc(c2)Cl,CNCc1nc2cc(Cl)ccc2[nH]1,281.0,,
c1ncc(cn1)c1ccc(s1)c1cccs1,c1csc(-c2ccc(-c3cncnc3)s2)c1,346.0,,
c1ccc2c(c1)c1ccccc1c1c2scc1,c1ccc2c(c1)c1ccccc1c1sccc21,495.0,,
CCOC(=O)c1nc[nH]c1F,CCOC(=O)c1nc[nH]c1F,235.0,,
O=C1CCC(=O)c2c1c1nc3c(nc1c1c2cccc1)ccc1c3cnnc1,O=C1CCC(=O)c2c1c1ccccc1c1nc3ccc4cnncc4c3nc21,404.0,,DMF
Clc1c2c(Cl)c(Cl)c3c4c2c2c(c1Cl)c(Cl)c(c1c2c2c4c(c(c3Cl)Cl)c(Cl)c(c2c(c1Cl)Cl)Cl)Cl,Clc1c(Cl)c2c(Cl)c(Cl)c3c(Cl)c(Cl)c4c(Cl)c(Cl)c5c(Cl)c(Cl)c6c(Cl)c(Cl)c1c1c2c3c4c5c61,860.0,,
Cn1ccc(=CN=Nc2ccc(cc2)CC2SC(=S)N(C2=O)c2ccc(cc2)O)c2c1cccc2,CN1C=CC(=CN=Nc2ccc(CC3SC(=S)N(c4ccc(O)cc4)C3=O)cc2)c2ccccc21,564.0,,THF
Nc1ncnc2c1[nH]cn2,Nc1ncnc2nc[nH]c12,260.0,,
OC1=C(C(c2ccccc2)Nc2ccccc2)C(=O)c2c(C1=O)cccc2,O=C1C(O)=C(C(Nc2ccccc2)c2ccccc2)C(=O)c2ccccc21,462.0,2754.228703,
COC(=O)c1cc2nc3c(nc2cc1C(=O)OC)c1ccccc1c1c3cccc1,COC(=O)c1cc2nc3c4ccccc4c4ccccc4c3nc2cc1C(=O)OC,402.0,,DMF
c1ccc(cc1)n1c2ccc(cc2c2c1cccc2)c1ccc2c(c1)c1ccccc1n2c1ccccc1,c1ccc(-n2c3ccccc3c3cc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)ccc32)cc1,303.0,,
c1ccc2c(c1)n(c1ccc(s1)n1c3ccccc3c3c1cccc3)c1c2cccc1,c1ccc2c(c1)c1ccccc1n2-c1ccc(-n2c3ccccc3c3ccccc32)s1,292.0,,
CCOC(=O)C1N(C)c2c(C1(C)C)c1ccccc1cc2,CCOC(=O)C1N(C)c2ccc3ccccc3c2C1(C)C,307.0,,
CONc1c(cc(cc1[N+](=O)[O-])C(=O)OC(C)C)[N+](=O)[O-],CONc1c([N+](=O)[O-])cc(C(=O)OC(C)C)cc1[N+](=O)[O-],391.0,6309.573445,methanol
Clc1ccc(cc1)c1cc(n(n1)Cc1ccc(cc1)C(C)(C)C)c1nnc(o1)COc1ccc(cc1)Cl,CC(C)(C)c1ccc(Cn2nc(-c3ccc(Cl)cc3)cc2-c2nnc(COc3ccc(Cl)cc3)o2)cc1,263.0,39600.0,DCM
CC(=O)Nc1nc(c(s1)c1ccccc1)c1ccccc1,CC(=O)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,358.1,,
CCOc1c(C(=O)OC)c(c2n1nccc2)C(=O)OC,CCOc1c(C(=O)OC)c(C(=O)OC)c2cccnn12,431.0,,Cyclohexane
COc1cccc(c1O)C=NNc1nc(NN=Cc2cccc(c2O)OC)nc(n1)N,COc1cccc(C=NNc2nc(N)nc(NN=Cc3cccc(OC)c3O)n2)c1O,315.0,39600.0,
COc1c(ccc2c1ccc(c2OC)C(=Cc1ccc(cc1)C#N)C#N)C(=Cc1ccc(cc1)C#N)C#N,COc1c(C(C#N)=Cc2ccc(C#N)cc2)ccc2c(OC)c(C(C#N)=Cc3ccc(C#N)cc3)ccc12,412.0,,dichloromethane
O=C1c2ccccc2C(=O)c2c1cccc2[N+](=O)[O-],O=C1c2ccccc2C(=O)c2c1cccc2[N+](=O)[O-],325.0,,
OC[C@H]1O[C@H](C[C@@]1(O)n1nnc(c1)COc1ccc2c(c1)oc(=O)cc2C)n1cc(C)c(=O)[nH]c1=O,Cc1cn([C@H]2C[C@@](O)(n3cc(COc4ccc5c(C)cc(=O)oc5c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,319.0,,
CCN(c1ccc(c(c1)O)c1nc2c([nH]1)ccc(c2C(=O)OC)C(=O)OC)CC,CCN(CC)c1ccc(-c2nc3c(C(=O)OC)c(C(=O)OC)ccc3[nH]2)c(O)c1,515.0,,
O=c1oc2ccccc2cc1N=NC1(Cc2cc(ccc2OC1=O)c1ccccc1)C(=O)C,CC(=O)C1(N=Nc2cc3ccccc3oc2=O)Cc2cc(-c3ccccc3)ccc2OC1=O,312.0,,
Cn1c2ccc(cc2c2c1cccc2)C=C(c1ccc(s1)C=C1C(=O)NC(=O)NC1=O)C#N,Cn1c2ccccc2c2cc(C=C(C#N)c3ccc(C=C4C(=O)NC(=O)NC4=O)s3)ccc21,524.0,41500.0,chloroform
Cc1nn(c2c1c1nc3c(n1c(c2)c1ccccc1)cc(cc3)C#Cc1ccccc1)c1ccccc1,Cc1nn(-c2ccccc2)c2cc(-c3ccccc3)n3c4cc(C#Cc5ccccc5)ccc4nc3c12,302.0,,
Cc1c(=O)n2c(c1c1ccccc1)cc1n(c2=O)c(C)cc1C,CC1=C(c2ccccc2)c2cc3c(C)cc(C)n3c(=O)n2C1=O,437.0,,Cyclohexane
N#CCc1cccc(c1)C12OOC2(C(C)(C)C)C(CO1)(C)C,CC(C)(C)C12OOC1(c1cccc(CC#N)c1)OCC2(C)C,702.0,,
Nc1ccc(cc1)Nc1nc(nc(n1)Nc1cccc2c1cccc2)Nc1cccc2c1cccc2,Nc1ccc(Nc2nc(Nc3cccc4ccccc34)nc(Nc3cccc4ccccc34)n2)cc1,295.0,46773.51413,CH 2 Cl 2
COc1ccc2c(c1)C(C)(C)C1(N2C)C=Cc2c(O1)c(cc1c2cccc1)c1nc(c(o1)c1ccccc1)c1ccccc1,COc1ccc2c(c1)C(C)(C)C1(C=Cc3c(c(-c4nc(-c5ccccc5)c(-c5ccccc5)o4)cc4ccccc34)O1)N2C,309.0,,Toluene
COc1ccc(cc1)c1oc2ccccc2c(=O)c1O,COc1ccc(-c2oc3ccccc3c(=O)c2O)cc1,203.0,16400.0,
O=NN1C(c2ccc(cc2)OC)C2C(C1c1ccc(cc1)OC)C2=O,COc1ccc(C2C3C(=O)C3C(c3ccc(OC)cc3)N2N=O)cc1,440.0,,KBr
N#CC(=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)c1cc(C)cc(c1)C,Cc1cc(C)cc(-c2ccc(C(C#N)=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c1,413.0,,Cyclohexane
CCN(c1ccc2c(c1)oc(=O)cc2C(F)(F)F)CC,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,401.0,,dichloromethane
Clc1ccc2c(c1)sc(n2)N=Nc1ccc2c1ccccc2,Clc1ccc2nc(N=Nc3ccc4cccccc3-4)sc2c1,494.0,,
