SMI,canonical_smi,lambda_max_exp_nm,extinction,solvent
Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,Cc1cc2c(n1-c1ccccc1)CCc1cc(S(=O)(=O)c3ccccc3)c(=O)[nH]c1-2,421.3,34243.0,
Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)C(=O)c1ccccc1,Cc1cc2c(n1-c1ccccc1)CCc1cc(C(=O)c3ccccc3)c(=O)[nH]c1-2,441.5,23201.0,
N#Cc1cc2CCc3c(c2[nH]c1=O)cc(n3c1ccccc1)C,Cc1cc2c(n1-c1ccccc1)CCc1cc(C#N)c(=O)[nH]c1-2,331.6,,
CCOC(=O)c1cc2CCc3c(c2[nH]c1=O)cc(n3c1ccccc1)C,CCOC(=O)c1cc2c([nH]c1=O)-c1cc(C)n(-c3ccccc3)c1CC2,423.0,24350.0,
Cn1c(C)cc2c1CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,Cc1cc2c(n1C)CCc1cc(S(=O)(=O)c3ccccc3)c(=O)[nH]c1-2,423.1,31307.0,
O=C(c1cc2CCc3c(c2[nH]c1=O)cc(n3C)C)c1ccccc1,Cc1cc2c(n1C)CCc1cc(C(=O)c3ccccc3)c(=O)[nH]c1-2,445.2,22139.0,
Cc1cc2c(n1Cc1ccccc1)CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,Cc1cc2c(n1Cc1ccccc1)CCc1cc(S(=O)(=O)c3ccccc3)c(=O)[nH]c1-2,421.2,33629.0,
O=c1[nH]c2c(cc1C(=O)c1ccccc1)CCc1c2ccn1Cc1ccccc1,O=C(c1ccccc1)c1cc2c([nH]c1=O)-c1ccn(Cc3ccccc3)c1CC2,442.7,23310.0,
Cc1[nH]c2c(c1)c1[nH]c(=O)cc(c1cc2)C,Cc1cc2c(ccc3c(C)cc(=O)[nH]c32)[nH]1,337.1,,
Cc1cnc(nc1O[Si](C)(C)C)O[Si](C)(C)C,Cc1cnc(O[Si](C)(C)C)nc1O[Si](C)(C)C,250.0,,
S=C=Nc1ccc2c(c1)C(=O)OC12c2ccc(cc2Oc2c1ccc(c2)O)O,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccc(N=C=S)cc21,280.0,,
F,F,470.0,,
CCc1cc(=O)c2c(o1)ccc(c2)O,CCc1cc(=O)c2cc(O)ccc2o1,328.0,,
CCCc1cc(=O)c2c(o1)ccc(c2)O,CCCc1cc(=O)c2cc(O)ccc2o1,328.0,,
Oc1ccc2c(c1)c(=O)cc(o2)C(C)C,CC(C)c1cc(=O)c2cc(O)ccc2o1,328.0,,
CC(Cc1cc(=O)c2c(o1)ccc(c2)O)C,CC(C)Cc1cc(=O)c2cc(O)ccc2o1,328.0,,
Oc1ccc2c(c1)c(=O)cc(o2)C(C)(C)C,CC(C)(C)c1cc(=O)c2cc(O)ccc2o1,328.0,,
Cc1cc(=O)c2c(o1)ccc(c2)O,Cc1cc(=O)c2cc(O)ccc2o1,328.0,,
CCCc1cc(=O)c2c(o1)cc(cc2)O,CCCc1cc(=O)c2ccc(O)cc2o1,292.0,,
Oc1ccc2c(c1)oc(cc2=O)C(C)C,CC(C)c1cc(=O)c2ccc(O)cc2o1,295.0,,
CC(Cc1cc(=O)c2c(o1)cc(cc2)O)C,CC(C)Cc1cc(=O)c2ccc(O)cc2o1,292.0,,
Oc1ccc2c(c1)oc(cc2=O)C(C)(C)C,CC(C)(C)c1cc(=O)c2ccc(O)cc2o1,295.0,,
Cc1cc(=O)c2c(o1)cc(cc2)O,Cc1cc(=O)c2ccc(O)cc2o1,247.0,,
O=c1cc(oc2c1cc1OCOc1c2)C(C)(C)C,CC(C)(C)c1cc(=O)c2cc3c(cc2o1)OCO3,319.0,,
CC(Cc1cc(=O)c2c(o1)cc1c(c2)OCO1)C,CC(C)Cc1cc(=O)c2cc3c(cc2o1)OCO3,319.0,,
Clc1ccc2c(c1)cc([nH]2)C(=O)NCCOCCOCCNC(=O)c1cc2c([nH]1)ccc(c2)Cl,O=C(NCCOCCOCCNC(=O)c1cc2cc(Cl)ccc2[nH]1)c1cc2cc(Cl)ccc2[nH]1,383.0,39000.0,
OC(=O)CCc1c2Cc3[nH]c(c(c3C)CCC(=O)O)Cc3[nH]c(Cc4[nH]c(Cc(c1C)[nH]2)c(CCC(=O)O)c4C)c(c3CCC(=O)O)C,Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2,377.0,41700.0,
ClC[C@H](Cl)C,C[C@@H](Cl)CCl,364.0,38700.0,
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)Cl,CCOc1nc(-c2ccc(Cl)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,330.0,,chloroform
N#Cc1ccc(nc1)c1ccc(cc1)F,N#Cc1ccc(-c2ccc(F)cc2)nc1,329.0,,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)F,CCOc1nc(-c2ccc(F)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,329.0,,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)C,CCOc1nc(-c2ccc(C)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,332.5,,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)OC,CCOc1nc(-c2ccc(OC)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,311.0,,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1cccs1,CCOc1nc(-c2cccs2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,331.0,,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccco1,CCOc1nc(-c2ccco2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,329.5,,chloroform
CCOc1nc2c(c(c1C#N)c1ccc(cc1)N1CCOCC1)Cc1c2cccc1,CCOc1nc2c(c(-c3ccc(N4CCOCC4)cc3)c1C#N)Cc1ccccc1-2,331.0,,chloroform
CCOc1nc2c(c(c1C#N)c1ccc(cc1)N1CCOCC1)CSc1c2cccc1,CCOc1nc2c(c(-c3ccc(N4CCOCC4)cc3)c1C#N)CSc1ccccc1-2,240.0,,chloroform
OCc1cc(=O)oc2c1cc(Br)c(c2)O,O=c1cc(CO)c2cc(Br)c(O)cc2o1,366.0,13600.0,
OCCNCCNc1ccc(c2c1c(O)c1c(O)ccc(c1c2O)O)NCCNCCO,OCCNCCNc1ccc(NCCNCCO)c2c(O)c3c(O)ccc(O)c3c(O)c12,721.5,,
ClC(=O)OC(Cl)(Cl)Cl,O=C(Cl)OC(Cl)(Cl)Cl,345.0,52000.0,
OCC1OC(CC1O)n1cc(C)c(=O)[nH]c1=O,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,349.0,48000.0,
N1CCN(CC1)c1ccccc1,c1ccc(N2CCNCC2)cc1,210.0,,
CS(=O)C(Cc1ccc2c(c1)OCO2)C,CC(Cc1ccc2c(c1)OCO2)S(C)=O,210.0,,
OC(=O)CI,O=C(O)CI,529.0,57543.99373,
COc1ccc(cc1I)c1nc2c([nH]1)cc(cc2)c1nc2c([nH]1)cc(cc2)N1CCN(CC1)C,COc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1I,544.5,38904.5145,
Clc1ccc(s1)c1onc(c1)Cn1c(cc2c1cccc2)C(=O)NC1CCN(CC1)C(C)C,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,554.5,60255.95861,
N#Cc1c(C(=O)NC2CCN(CC2)C(C)C)n(c2c1cccc2C)Cc1noc(c1)c1ccc(s1)Cl,Cc1cccc2c(C#N)c(C(=O)NC3CCN(C(C)C)CC3)n(Cc3cc(-c4ccc(Cl)s4)on3)c12,576.5,38018.93963,
CC(CC(=O)O)C,CC(C)CC(=O)O,617.0,38904.5145,
COc1cc(cc(c1OC)OC)C(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,COc1cc(C(=O)OCCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)cc(OC)c1OC,411.0,61700.0,
O=C1OCC(=C1)[C@@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,220.0,,
O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2C1=CC(=O)OC1)C)C,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,220.0,,
CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CCCC2=CC=C1C[C@@H](O)CCC1=C)C)C,C=C1CC[C@H](O)CC1=CC=C1CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,265.0,,
CCOC(=O)C(Oc1ccc(cc1)Cl)(C)C,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,278.0,,
CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C)C,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,220.0,,
c1ccc(c(c1)c1cc2c([nH]1)cccc2)c1cc2c([nH]1)cccc2,c1ccc(-c2cc3ccccc3[nH]2)c(-c2cc3ccccc3[nH]2)c1,293.0,,
CCN(c1ccc(c(c1)OCOc1cc(ccc1C=C(C#N)C#N)N(CC)CC)C=C1C([N+](=O)[O-])c2c(C1[N+](=O)[O-])cccc2)CC,CCN(CC)c1ccc(C=C(C#N)C#N)c(OCOc2cc(N(CC)CC)ccc2C=C2C([N+](=O)[O-])c3ccccc3C2[N+](=O)[O-])c1,602.0,,
NCC[C@@H]([C@H](CCC(=O)O)CN)CC(=O)O,NCC[C@H](CC(=O)O)[C@@H](CN)CCC(=O)O,532.0,,
Cc1cccc(c1)CNC(=O)c1ncnc(c1)C(=O)NCc1cccc(c1)C,Cc1cccc(CNC(=O)c2cc(C(=O)NCc3cccc(C)c3)ncn2)c1,532.0,,
O=C(c1ncnc(c1)C(=O)NCc1ccc(c(c1)C)F)NCc1ccc(c(c1)C)F,Cc1cc(CNC(=O)c2cc(C(=O)NCc3ccc(F)c(C)c3)ncn2)ccc1F,532.0,,
NC(=N)c1ccc(cc1)OCOc1ccc(cc1)C(=N)N,N=C(N)c1ccc(OCOc2ccc(C(=N)N)cc2)cc1,650.0,,Methanol
c1ccc(cc1)c1ccc(cc1)c1ccccc1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,279.0,,
c1csc(c1)c1sccc1c1cccs1,c1csc(-c2ccsc2-c2cccs2)c1,350.0,,
S1CC=CC=C1,C1=CCSC=C1,349.0,,
c1ccc(nc1)c1[nH]ncc1c1ccnc2c1cccc2,c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,347.0,,
SCc1cccnc1,SCc1cccnc1,325.0,,
COc1ccc2c(c1)[nH]c(n2)S(=O)Cc1ncc(c(c1C)OC)C,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,302.0,,
OC(c1cc(Cl)c(c(c1)Cl)N)CNC(C)(C)C.[Cl-].[H+],CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1.[Cl-].[H+],298.0,,
O=C1C(CCc2c1c1ccccc1n2C)Cn1ccnc1C.O.O.[Cl-].[H+],Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O.O.O.[Cl-].[H+],305.0,,
CCN(c1ccc(c(c1)C)N=Nc1ccc(cc1)S(=O)(=O)O)CC,CCN(CC)c1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)c(C)c1,860.0,,
c1ccc(cc1)C=Cc1ccc(cc1c1cc(ccc1C=Cc1ccccc1)C=Cc1ccccc1)C=Cc1ccccc1,C(=Cc1ccc(C=Cc2ccccc2)c(-c2cc(C=Cc3ccccc3)ccc2C=Cc2ccccc2)c1)c1ccccc1,360.0,,
Oc1ccccc1c1nc2c(s1)cccc2,Oc1ccccc1-c1nc2ccccc2s1,333.0,,Ethanol
Fc1ccc2c(c1)sc(n2)c1ccccc1OCc1ccccc1,Fc1ccc2nc(-c3ccccc3OCc3ccccc3)sc2c1,322.0,,Ethanol
